mission,mss_id,tm_id,roi_id
L4,LANDSAT/LT04/C02/T2/LT04_171018_19890806,LANDSAT/LM04/C02/T2/LM04_171018_19890806,ROI_0483
L4,LANDSAT/LT04/C02/T2/LT04_171018_19920627,LANDSAT/LM04/C02/T2/LM04_171018_19920627,ROI_0483
L4,LANDSAT/LT04/C02/T2/LT04_109036_19890313,LANDSAT/LM04/C02/T2/LM04_109036_19890313,ROI_0485
L4,LANDSAT/LT04/C02/T2/LT04_019039_19830101,LANDSAT/LM04/C02/T2/LM04_019039_19830101,ROI_0487
L4,LANDSAT/LT04/C02/T2/LT04_181016_19880708,LANDSAT/LM04/C02/T2/LM04_181016_19880708,ROI_0492
L4,LANDSAT/LT04/C02/T2/LT04_181016_19881012,LANDSAT/LM04/C02/T2/LM04_181016_19881012,ROI_0492
L4,LANDSAT/LT04/C02/T2/LT04_171017_19880819,LANDSAT/LM04/C02/T2/LM04_171017_19880819,ROI_0496
L4,LANDSAT/LT04/C02/T2/LT04_171017_19890923,LANDSAT/LM04/C02/T2/LM04_171017_19890923,ROI_0496
L4,LANDSAT/LT04/C02/T2/LT04_173016_19880614,LANDSAT/LM04/C02/T2/LM04_173016_19880614,ROI_0496
L4,LANDSAT/LT04/C02/T2/LT04_175015_19880612,LANDSAT/LM04/C02/T2/LM04_175015_19880612,ROI_0498
L4,LANDSAT/LT04/C02/T2/LT04_177015_19880813,LANDSAT/LM04/C02/T2/LM04_177015_19880813,ROI_0498
L4,LANDSAT/LT04/C02/T2/LT04_019039_19830101,LANDSAT/LM04/C02/T2/LM04_019039_19830101,ROI_0500
L4,LANDSAT/LT04/C02/T2/LT04_049020_19821116,LANDSAT/LM04/C02/T2/LM04_049020_19821116,ROI_0504
L4,LANDSAT/LT04/C02/T2/LT04_050020_19821225,LANDSAT/LM04/C02/T2/LM04_050020_19821225,ROI_0504
L4,LANDSAT/LT04/C02/T2/LT04_049022_19821116,LANDSAT/LM04/C02/T2/LM04_049022_19821116,ROI_0505
L4,LANDSAT/LT04/C02/T2/LT04_049022_19830103,LANDSAT/LM04/C02/T2/LM04_049022_19830103,ROI_0505
L4,LANDSAT/LT04/C02/T2/LT04_049022_19830204,LANDSAT/LM04/C02/T2/LM04_049022_19830204,ROI_0505
L4,LANDSAT/LT04/C02/T2/LT04_050022_19830110,LANDSAT/LM04/C02/T2/LM04_050022_19830110,ROI_0505
L4,LANDSAT/LT04/C02/T2/LT04_050022_19830126,LANDSAT/LM04/C02/T2/LM04_050022_19830126,ROI_0505
L4,LANDSAT/LT04/C02/T2/LT04_024037_19821203,LANDSAT/LM04/C02/T2/LM04_024037_19821203,ROI_0507
L4,LANDSAT/LT04/C02/T2/LT04_024037_19830104,LANDSAT/LM04/C02/T2/LM04_024037_19830104,ROI_0507
L4,LANDSAT/LT04/C02/T2/LT04_024037_19830205,LANDSAT/LM04/C02/T2/LM04_024037_19830205,ROI_0507
L4,LANDSAT/LT04/C02/T2/LT04_185017_19880602,LANDSAT/LM04/C02/T2/LM04_185017_19880602,ROI_0511
